id,date,user_id,year,usa_boulders,name,climb_type
1986,941410800,145,1999,V13,Desperado,1
1987,941410800,145,1999,V12,"Black eagle",1
1988,852073200,145,1997,V12,?,1
1989,957132000,145,2000,V11,"Brad's arête",1
1990,957132000,145,2000,V11,Westworld,1
1991,957132000,145,2000,V10,"Brad Pit",1
1996,968623200,51,2000,V7,"Milo and Cofi",1
1998,968882400,51,2000,V8,??,1
1999,968536800,51,2000,V7,Anorexic,1
2011,947199600,51,2000,V7,??,1
2012,970869600,51,2000,V6,??,1
2018,959292000,146,2000,V10,"L'oeil de la Sybille",1
2024,962402400,146,2000,V9,"Tour de Pump",1
2049,928188000,149,1999,V10,Schwarzwaldklinik,1
2050,971992800,149,2000,V11,Berezi,1
2113,959810400,155,2000,V10,Savaged,1
2114,955144800,155,2000,V8,"l'Aérodynamite",1
2115,941410800,35,1999,V5,"Buoux Crack",1
2116,941410800,35,1999,V5,"Buoux Problem",1
2117,941410800,35,1999,V5,"Standard Overhang",1
2118,941410800,35,1999,V4,"thing at buoux",1
2119,941410800,35,1999,V4,"thing at buoux",1
2120,941410800,35,1999,V5,"Kelly's Arete",1
2121,941410800,35,1999,V5,"at imperial stout",1
2122,941410800,35,1999,V5,"at imperial stout",1
2123,941410800,35,1999,V5,"at imperial stout",1
2124,938728800,35,1999,V5,"somebody's problem",1
2125,970869600,157,2000,V8,"naked ape",1
2126,969400800,157,2000,V9,"midnight lightning",1
2127,970869600,157,2000,V10,"agua man",1
2128,970869600,157,2000,V8,"The Heckler",1
2129,971560800,157,2000,V8,"Chili Sauce",1
2131,968277600,158,2000,V10,Lithium,1
2132,965080800,158,2000,V8,"Fajers dyno, dubbel",1
2133,962402400,158,2000,V8,Pinocchio,1
2134,962402400,158,2000,V8,Stearin,1
2135,965080800,158,2000,V7,"Cannonball dubbel",1
2136,959810400,158,2000,V8,"Caspersens arete",1
2137,965080800,158,2000,V7,"Fajers Dyno ss",1
2138,965080800,158,2000,V8,Ferdinand,1
2139,970351200,158,2000,V7,"Früstk",1
2140,938728800,158,1999,V7,Monolith,1
2141,938728800,158,1999,V6,Babar,1
2142,965080800,158,2000,V6,Cannonball,1
2143,965080800,158,2000,V6,"Fajers Dyno",1
2144,970351200,158,2000,V7,Ghetto,1
2145,962402400,158,2000,V7,Matador,1
2146,967759200,158,2000,V6,"Rock star",1
2149,970351200,160,2000,V7,"Down Under",1
2153,970351200,160,2000,V7,"Big Times",1
2159,958773600,161,2000,V6,"An Expotition",1
2160,961192800,161,2000,V6,"Hairbell Wall",1
2161,962402400,161,2000,V6,Spleen,1
2162,965080800,161,2000,V6,"New shoes",1
2163,972338400,161,2000,V6,"The Young American",1
2164,954972000,161,2000,V5,"Oedipus start",1
2165,971215200,161,2000,V5,"Millers tale start",1
2166,970783200,161,2000,V6,"9 ways",1
2167,970005600,161,2000,V6,"plastic chips",1
2168,968191200,161,2000,V5,"G- Thang",1
2169,957564000,161,2000,V5,"The H.O.P.",1
2170,967500000,161,2000,V6,Unnamed,1
2171,955749600,161,2000,V5,Unnamed,1
2203,972770400,69,2000,V8,"Baldy left",1
2204,972770400,69,2000,V7,"Baldy right",1
2205,972165600,69,2000,V9,"Who Needs Hueco",1
2206,972165600,69,2000,V8,"Right SD Try Again",1
2207,972165600,69,2000,V8,"Loadies Zen",1
2211,972165600,69,2000,V6,"?on Pedestal boulder",1
2220,970351200,167,2000,V4,"Nä, men jeppe",1
2221,969055200,167,2000,V4,"Corner Pocket",1
2222,969055200,167,2000,V3,"Skenet bedrar",1
2224,972684000,118,2000,V13,"The Ill saint",1
2225,972684000,118,2000,V11,"The rat fish",1
2235,965858400,161,2000,V6,"Toilet traverse",1
2292,951865200,173,2000,V14,"Eve Rave",1
2293,883609200,173,1998,V14,Slashface,1
2294,883609200,173,1998,V14,"Coeur de Leon",1
2295,946767600,173,2000,V13,"Fata Morgana Bas",1
2296,951865200,173,2000,V13,"Cave Rave",1
2297,951865200,173,2000,V13,Ammagamma,1
2298,942620400,173,1999,V13,"La Soucoupe",1
2299,941410800,173,1999,V13,"Le Reve de faire",1
2300,883609200,173,1998,V13,Abysse,1
2301,922917600,173,1999,V13,"Armed response",1
2302,883609200,173,1998,V12,"Come un lointain",1
2303,820450800,173,1996,V13,"Crown of Aragorn",1
2304,702079200,173,1992,V13,"La Danse de Balrog",1
2305,922917600,173,1999,V13,Desperado,1
2306,852073200,173,1997,V13,"Full Monty",1
2307,883609200,173,1998,V13,"L'Innomee",1
2308,883609200,173,1998,V13,"La jonction",1
2309,820450800,173,1996,V13,"La Pierre philosophale",1
2310,915145200,173,1999,V13,"Prend moi!",1
2311,883609200,173,1998,V13,"La Proue",1
2312,852073200,173,1997,V13,"Lèopard cave",1
2313,852073200,173,1997,V13,Li,1
2314,820450800,173,1996,V13,"Master of pogs",1
2315,922917600,173,1999,V13,"Oral Office",1
2316,825634800,173,1996,V14,Radja,1
2317,852073200,173,1997,V13,Dominator,1
2318,888706800,69,1998,V6,JBMFP,1
2319,828309600,69,1996,V7,"Iron Cross",1
2320,829000800,69,1996,V7,"Smiley Face",1
2360,970696800,177,2000,V10,Greed,1
2361,970610400,177,2000,V8,"Pop and go",1
2546,973292400,158,2000,V7,Mojo,1
2689,970178400,194,2000,V5,Barlangocska,1
2690,946681200,194,2000,V6,Rics-Vik,1
2736,972165600,151,2000,V6,"Clin d'il",1
2737,970264800,151,2000,V7,"Décomposition des fo",1
2738,970351200,151,2000,V7,"Fleurs de rhum",1
2748,963180000,199,2000,V3,"Last Suitcase BTH",1
2770,972684000,173,2000,V15,Dreamtime,1
2771,954540000,173,2000,V12,"Sleepy Hollow",1
2772,954540000,173,2000,V12,Nanjanuha,1
2773,954540000,173,2000,V12,"Il Globo",1
2774,954540000,173,2000,V11,"Vampire Dagger",1
2821,983833200,79,2001,V8,"l'Aérodynamite",1
2822,973033200,79,2000,V8,?,1
2823,972946800,79,2000,V8,"Jeu de toit",1
2824,973206000,79,2000,V6,"L'Araignee",1
2825,973119600,79,2000,V6,Charcuterie,1
2826,973119600,79,2000,V6,Musclor,1
2827,982278000,79,2001,V6,"Double Dyno",1
2828,973983600,95,2000,V6,"Battle of the Bulge",1
2841,973810800,118,2000,V9,"La Bérézina",1
2842,973638000,118,2000,V9,"Sale gosse",1
2853,962402400,101,2000,V12,"my  eliminate",1
2858,946681200,101,2000,V10,"Demon roof eliminate",1
2859,962402400,101,2000,V11,"Calf eliminate",1
3029,956354400,18,2000,V7,"Extraction terreste",1
3030,956527200,18,2000,V7,"petit toit",1
3041,956268000,18,2000,V6,Graviton,1
3048,956181600,18,2000,V6,"Retour aux Sources",1
3065,974588400,69,2000,V5,Mentos,1
3066,974588400,69,2000,V8,"Tiger Style",1
3067,974588400,69,2000,V8,"Mad Lion",1
3068,974242800,6,2000,V10,"Acid Wash",1
3069,974329200,6,2000,V10,"Toxic Avenger",1
3070,953074800,6,2000,V8,Deliverance,1
3095,976402800,118,2000,V11,"C'etait demain",1
3134,975106800,46,2000,V6,"The Mug",1
3182,974847600,118,2000,V11,"Partenaire particulier",1
3183,974674800,118,2000,V9,"Big Boss",1
3184,974674800,118,2000,V10,"Big Golden",1
3185,974674800,118,2000,V9,Tristesse,1
3186,974674800,118,2000,V10,Alta,1
3187,974674800,118,2000,V9,"Arrache coeur",1
3188,974674800,118,2000,V10,"Fourmis Rouges",1
3201,975366000,5,2000,V5,D-Day,1
